NAME,SOURCE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,NOTES
FS15R_FS4281,icraf-isric-soil-database,pervious,bare,soil,measured,-32.85,137.5333333,none
FS15R_FS4297,icraf-isric-soil-database,pervious,bare,soil,measured,-35.35,144.85,none
FS15R_FS4308,icraf-isric-soil-database,pervious,bare,soil,measured,-29.01666667,152.0333333,none
FS15R_FS4309,icraf-isric-soil-database,pervious,bare,soil,measured,-29.01666667,152.0333333,none
FS15R_FS4361,icraf-isric-soil-database,pervious,bare,soil,measured,-27.36666667,152.8833333,none
FS15R_FS4393,icraf-isric-soil-database,pervious,bare,soil,measured,-24.85,152.4,none
FS15R_FS4397,icraf-isric-soil-database,pervious,bare,soil,measured,-34.7,139.0666667,none
FS15R_FS4144,icraf-isric-soil-database,pervious,bare,soil,measured,-2.6,-54.95,none
FS15R_FS4152,icraf-isric-soil-database,pervious,bare,soil,measured,-2.9,-54.93333333,none
FS15R_FS4177,icraf-isric-soil-database,pervious,bare,soil,measured,-7.733333333,-35.25,none
FS15R_FS4180,icraf-isric-soil-database,pervious,bare,soil,measured,-7.733333333,-35.25,none
FS15R_FS4205,icraf-isric-soil-database,pervious,bare,soil,measured,-6.666666667,-35.13333333,none
FS15R_FS4218,icraf-isric-soil-database,pervious,bare,soil,measured,-8.35,-35.01666667,none
FS15R_FS4221,icraf-isric-soil-database,pervious,bare,soil,measured,-8.35,-35.01666667,none
FS15R_FS4261,icraf-isric-soil-database,pervious,bare,soil,measured,-12,-50,none
FS15R_FS5730,icraf-isric-soil-database,pervious,bare,soil,measured,5.883333333,-7.333333333,none
FS15R_FS5731,icraf-isric-soil-database,pervious,bare,soil,measured,5.883333333,-7.333333333,none
FS15R_FS5088,icraf-isric-soil-database,pervious,bare,soil,measured,23.21666667,113.4666667,none
FS15R_FS5094,icraf-isric-soil-database,pervious,bare,soil,measured,23.13333333,112.5833333,none
FS21_FS1115,icraf-isric-soil-database,pervious,bare,soil,measured,3.833333333,103.3166667,none
FS21_FS1122,icraf-isric-soil-database,pervious,bare,soil,measured,3.833333333,103.3166667,none
FS21_FS1145,icraf-isric-soil-database,pervious,bare,soil,measured,1.75,109.8,none
FS21_FS1146,icraf-isric-soil-database,pervious,bare,soil,measured,1.75,109.8,none
FS15R_FS5176,icraf-isric-soil-database,pervious,bare,soil,measured,28.21666667,116.9166667,none
FS15R_FS5230,icraf-isric-soil-database,pervious,bare,soil,measured,23.65,113.6583333,none
FS15R_FS5286,icraf-isric-soil-database,pervious,bare,soil,measured,21.91666667,101.2333333,none
